HAI_1_DOPC,HAI_1_ELIGCASES,HAI_1_NUMERATOR,HAI_1_SIR_Score,HAI_2_DOPC,HAI_2_ELIGCASES,HAI_2_NUMERATOR,HAI_2_SIR_Score,HAI_3_DOPC,HAI_3_ELIGCASES,HAI_3_NUMERATOR,HAI_3_SIR_Score,HAI_4_DOPC,HAI_4_ELIGCASES,HAI_4_NUMERATOR,HAI_4_SIR_Score,HAI_5_DOPC,HAI_5_ELIGCASES,HAI_5_NUMERATOR,HAI_5_SIR_Score,HAI_6_DOPC,HAI_6_ELIGCASES,HAI_6_NUMERATOR,HAI_6_SIR_Score,ZIP Code,H_CLEAN_LINEAR_SCORE,H_COMP_1_LINEAR_SCORE,H_COMP_2_LINEAR_SCORE,H_COMP_3_LINEAR_SCORE,H_COMP_5_LINEAR_SCORE,H_COMP_6_LINEAR_SCORE,H_COMP_7_LINEAR_SCORE,H_HSP_RATING_LINEAR_SCORE,H_QUIET_LINEAR_SCORE,H_RECMND_LINEAR_SCORE,SEP_1,SEP_SH_3HR,SEP_SH_6HR,SEV_SEP_3HR,SEV_SEP_6HR,HAI_1_SIR_ComparedToNational_encode,HAI_2_SIR_ComparedToNational_encode,HAI_3_SIR_ComparedToNational_encode,HAI_4_SIR_ComparedToNational_encode,HAI_5_SIR_ComparedToNational_encode,HAI_6_SIR_ComparedToNational_encode
6481.0,5.168,3.0,0.58,4620.0,3.896,3.0,0.77,90.0,2.363,3.0,1.27,261.0,2.038,2.0,0.981,94413.0,4.241,2.0,0.472,86828.0,45.716,14.0,0.306,85037,84.0,90.0,90.0,81.0,78.0,86.0,79.0,87.0,81.0,89.0,57.0,84.0,85.0,83.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0
657.0,0.411,0.0,,1658.0,0.862,0.0,,1.0,0.027,0.0,,7.0,0.058,0.0,,7022.0,0.153,0.0,,6534.0,1.713,2.0,1.168,86426,93.0,91.0,86.0,88.0,77.0,78.0,78.0,87.0,83.0,85.0,50.0,72.0,,82.0,100.0,,,,,,0.0
8549.0,5.869,3.0,0.511,7575.0,5.217,4.0,0.767,183.0,4.516,3.0,0.664,295.0,2.356,1.0,0.424,62261.0,2.564,1.0,0.39,53637.0,40.12,29.0,0.723,85297,87.0,91.0,90.0,84.0,78.0,89.0,82.0,89.0,82.0,89.0,80.0,92.0,100.0,88.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
4340.0,4.075,1.0,0.245,5429.0,5.502,3.0,0.545,51.0,1.287,0.0,0.0,90.0,0.769,0.0,,26749.0,1.667,2.0,1.2,24655.0,12.303,1.0,0.081,85209,80.0,87.0,88.0,79.0,70.0,82.0,77.0,84.0,81.0,83.0,50.0,83.0,18.0,82.0,90.0,0.0,0.0,0.0,,0.0,1.0
3931.0,2.56,2.0,0.781,2648.0,1.834,2.0,1.091,139.0,5.887,9.0,1.529,353.0,4.684,2.0,0.427,68571.0,3.485,1.0,0.287,60958.0,33.386,48.0,1.438,85234,84.0,91.0,90.0,86.0,79.0,88.0,83.0,89.0,83.0,90.0,56.0,83.0,,82.0,78.0,0.0,0.0,0.0,0.0,0.0,-1.0
3597.0,3.167,1.0,0.316,3787.0,3.777,1.0,0.265,77.0,1.853,1.0,0.54,238.0,1.81,2.0,1.105,32622.0,1.61,1.0,0.621,32622.0,10.482,5.0,0.477,85255,90.0,93.0,92.0,87.0,79.0,86.0,84.0,92.0,86.0,93.0,60.0,90.0,,74.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,38.0,1.023,1.0,0.978,93.0,0.816,1.0,,16461.0,0.37,0.0,,14213.0,3.882,3.0,0.773,85140,89.0,92.0,91.0,86.0,80.0,88.0,84.0,89.0,87.0,90.0,49.0,85.0,,69.0,86.0,,,0.0,,,0.0
209.0,0.129,0.0,,452.0,0.231,0.0,,30.0,0.832,1.0,,48.0,0.409,0.0,,5033.0,0.089,0.0,,4211.0,1.717,1.0,0.582,72761,91.0,92.0,93.0,85.0,75.0,90.0,81.0,87.0,88.0,86.0,71.0,80.0,82.0,92.0,100.0,,,,,,0.0
200.0,0.12,0.0,,1019.0,0.693,0.0,,4.0,0.098,0.0,,2.0,0.014,0.0,,5053.0,0.193,1.0,,4572.0,1.546,1.0,0.647,72830,94.0,92.0,92.0,89.0,78.0,78.0,82.0,89.0,89.0,89.0,70.0,91.0,71.0,85.0,94.0,,,,,,0.0
9687.0,8.895,12.0,1.349,12558.0,14.595,21.0,1.439,229.0,5.987,5.0,0.835,641.0,4.774,3.0,0.628,74383.0,4.631,5.0,1.08,65690.0,47.01,37.0,0.787,72703,87.0,91.0,92.0,86.0,78.0,86.0,81.0,89.0,85.0,90.0,79.0,92.0,71.0,93.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
